hexbin,value
881f19d131fffff,8
881f19d123fffff,2
881f19d11dfffff,16
881f19d115fffff,6
881f19d109fffff,21
881f19d103fffff,46
881f19d0edfffff,117
881f19d0ebfffff,304
881f19d0e9fffff,168
881f19d0e5fffff,9
881f19d0cdfffff,25
881f19d0c1fffff,43
881f19d0a9fffff,22
881f19d0a1fffff,3
881f19d069fffff,23
881f19d067fffff,24
881f19d045fffff,14
881f1d69e3fffff,67
881f1d69e1fffff,95
881f1d69c7fffff,34
881f1d69b9fffff,428
881f1d6995fffff,8
881f1d698dfffff,116
881f1d6985fffff,410
881f1d6981fffff,8
881f19daedfffff,313
881f19dae9fffff,63
881f19dae7fffff,71
881f19dae5fffff,74
881f19dae1fffff,48
881f19dad7fffff,9
881f19dacdfffff,110
881f19dac3fffff,110
881f19dac1fffff,19
881f18a6d5fffff,17
881f19dab5fffff,9
881f19daabfffff,153
881f18a6b9fffff,12
881f18a6b7fffff,81
881f19daa1fffff,24
881f19da9dfffff,22
881f19da9bfffff,115
881f18a6b3fffff,102
881f19da99fffff,39
881f19da97fffff,32
881f19da89fffff,1
881f18a69dfffff,1
881f19da6bfffff,40
881f18a68bfffff,8
881f19da63fffff,37
881f19da61fffff,2
881f18a683fffff,47
881f19da51fffff,46
881f19da4bfffff,39
881f19da49fffff,76
881f19da47fffff,96
881f19d367fffff,45
881f19d355fffff,90
881f1d6d27fffff,5
881f19da43fffff,87
881f19da41fffff,14
881f19da3dfffff,65
881f19da3bfffff,321
881f19da39fffff,436
881f19da33fffff,145
881f19da2dfffff,15
881f19da2bfffff,175
881f19da1dfffff,56
881f19da17fffff,116
881f19da13fffff,226
881f19d343fffff,128
881f19d339fffff,17
881f19d335fffff,16
881f19d32bfffff,62
881f19d327fffff,102
881f19d323fffff,121
881f19d309fffff,24
881f19d301fffff,3
881f19d2ebfffff,160
881f19d2e9fffff,131
881f19d2e1fffff,768
881f19d2ddfffff,4
881f19d2d5fffff,2
881f19d2d1fffff,13
881f19d2c9fffff,12
881f19d2c5fffff,413
881f19d2c3fffff,445
881f19d2c1fffff,588
881f19d2a1fffff,220
881f19d28bfffff,7
881f19d289fffff,114
881f19d8cbfffff,297
881f19d8c7fffff,29
881f19d8c3fffff,340
881f18a4dbfffff,45
881f18a4d7fffff,12
881f19d859fffff,100
881f19d851fffff,25
881f19d84dfffff,5
881f19d849fffff,5
881f18a4bdfffff,5
881f18a4b7fffff,40
881f19d815fffff,8
881f19d80bfffff,1
881f18a49bfffff,4
881f19d805fffff,1
881f18a493fffff,52
881f19d803fffff,324
881f18a491fffff,12
881f18a487fffff,87
881f18a483fffff,1
881f19d22dfffff,2
881f19d22bfffff,194
881f19d223fffff,160
881f19d221fffff,14
881f19d205fffff,18
881f19d1ddfffff,17
881f19d1c3fffff,103
881f1d78d7fffff,696
881f1d78d5fffff,1626
881f1d78d3fffff,1122
881f1d78d1fffff,1638
881f1d78bbfffff,164
881f1d78b7fffff,70
881f1d78b5fffff,105
881f1d78b3fffff,391
881f1d78b1fffff,156
881f1d6f5bfffff,34
881f1d6801fffff,48
881f1d603bfffff,55
881f1d6033fffff,64
881f1d602bfffff,75
881f1d6027fffff,52
881f1d6023fffff,77
881f1d6021fffff,37
881f1d601dfffff,130
881f1d6019fffff,17
881f1d6015fffff,39
881f1d6011fffff,32
881f1d6003fffff,13
881f1d7abbfffff,387
881f1d6f53fffff,45
881f1d6f51fffff,1
881f1d6f47fffff,25
881f1d6f2dfffff,58
881f1d6f29fffff,48
881f1d6f21fffff,142
881f1d6f11fffff,112
881f1d6c69fffff,1
881f1d636bfffff,877
881f1d6365fffff,1129
881f1d6f0bfffff,11
881f1d6f01fffff,1
881f1d6abdfffff,81
881f1d6ab9fffff,4
881f1d6aa9fffff,77
881f1d6a9bfffff,12
881f1d6a99fffff,22
881f1d6a97fffff,118
881f1d6337fffff,61
881f1d632dfffff,35
881f1d6329fffff,1
881f1d6e6dfffff,5
881f1d6e61fffff,100
881f1d6a5dfffff,53
881f1d6a59fffff,360
881f1d6a55fffff,163
