hexbin,value
892621ad923ffff,0.1604422617127631
892621aca4fffff,2.871582377212139
892621360dbffff,1.8156473328142713
892621365afffff,3.08577212521578
89262136083ffff,3.0853748899331235
89262136557ffff,3.085677482416119
892621ac947ffff,10.184366361356611
892621364a7ffff,3.0862084003038386
8926213644fffff,3.085718942654658
89262cd9287ffff,8.068057497122084
89262136c97ffff,3.0848489544005284
89262cd922fffff,3.085010871394005
89262cd96abffff,19.685557840858774
892621acbb3ffff,3.0872276299437673
89262cd9653ffff,3.086535093881237
892621acb5bffff,3.0867390786040327
892621acb03ffff,3.0868798144827156
892621acaabffff,8.353347276676729
892621ad927ffff,2.690481623526061
892621365b3ffff,3.086095682793024
89262136087ffff,3.0853292349687025
8926213655bffff,3.085607113610948
89262136503ffff,3.085747763481297
892621ac94bffff,3.0873892725347747
892621364abffff,3.08613796614711
89262136453ffff,3.086042340269418
89262cd928bffff,3.085750339741264
89262136c9bffff,3.288691668232061
89262cd9233ffff,3.0853346574642337
89262cd96afffff,55.633611222692934
892621acbb7ffff,3.0871818689523707
89262cd9657ffff,3.08648925953278
89262136193ffff,3.663682984932686
892621acb07ffff,3.0868341073163994
89262cd907bffff,57.013053778928665
892621acaafffff,3.0872239659821026
892621365b7ffff,3.08604984431673
8926213608bffff,3.085258743837267
89262136033ffff,3.20152569178748
89262136507ffff,3.085701978792949
892621ac94fffff,3.0873435226164188
892621364afffff,3.086092337556284
89262136457ffff,3.0859968345911977
89262cd928fffff,3.0857043742020513
892621ae9a7ffff,58.73723196896147
89262cdb443ffff,23.216617089896275
89262cdb4d3ffff,69.60877676449012
892621ae92bffff,94.57876934942966
89262cdb4c3ffff,69.6051418646827
89262cdb683ffff,62.14425619562313
892621a5a6bffff,70.6098337437466
89262cdb4d7ffff,35.194336541106594
892621ae92fffff,75.49313055073229
89262cdb697ffff,71.39411130131899
89262cdb45bffff,69.59630361474015
89262cdb4c7ffff,31.394738072934985
89262cdb687ffff,20.186815554795896
892621ae9afffff,50.44719565281772
89262cdb44bffff,36.058687124870325
892621a5a6fffff,34.3526145113773
89262cdb4dbffff,69.60617575777769
89262cdb4cbffff,69.60254074407798
892621ae923ffff,58.75971301968525
89262cdb68bffff,49.91908561766024
892621ae937ffff,57.81877293493797
892621a5a63ffff,46.73935252376724
89262cdb4cfffff,31.89697804126743
892621ae927ffff,69.59993910628125
892621ae9b7ffff,109.08553035299114
89262cdb453ffff,51.209216860097186
89262cca24bffff,24.84198931357432
89262ccb18fffff,4.753942626740561
89262cca24fffff,24.84161148211312
89262ccb193ffff,13.293473623691629
89262cca253ffff,22.74747589357179
89262ccb197ffff,24.84236691219395
89262cca25bffff,24.84329834675682
89262ccb507ffff,51.2032073098496
89262ccb50bffff,4.342833226808985
89262ccb50fffff,19.035914938295573
89262ccb1b3ffff,22.37791895150251
89262ccb517ffff,172.00770281434973
89262ccb1b7ffff,4.645582074028802
